page	similarity	html_only_lines	hocr_only_lines	low_conf_words
schutte_buitenlandsevertegenwoordigersinnederland_0001	98.2	14	14	18
schutte_buitenlandsevertegenwoordigersinnederland_0002	96.6	20	20	16
schutte_buitenlandsevertegenwoordigersinnederland_0003	98.6	20	18	14
schutte_buitenlandsevertegenwoordigersinnederland_0004	97.3	24	20	8
schutte_buitenlandsevertegenwoordigersinnederland_0005	93.3	36	31	25
schutte_nederlandsevertegenwoordigersinbuitenland_0001	6.4	20	7	6
schutte_nederlandsevertegenwoordigersinbuitenland_0002	97.7	15	15	14
schutte_nederlandsevertegenwoordigersinbuitenland_0003	98.0	18	21	15
schutte_nederlandsevertegenwoordigersinbuitenland_0004	97.0	17	17	9
schutte_nederlandsevertegenwoordigersinbuitenland_0007	97.2	28	28	16